composition,S,S^2,sigma,kappa,sigma/kappa,ZT
Pb1.8S4.0Ti2.0,-51,2601,2170,2.9,748.2758621,0.06
Sn1.2S4.0Ti2.0,-65,4225,2090,2.66,785.7142857,0.1
K1.0Bi6.33S10.0,-25,625,6.061,1.3,4.662307692,0.0000874
Tl1.0Ti1.0P1.0S5.0,-160,25600,0.000069,0.783,8.81226E-05,6.76E-08
Tl2.0Cu2.0Sn1.0Te4.0,345,119025,0.00769,0.377,0.020397878,0.0000729
Ag9.0Tl1.0Te5.0,388,150544,3.931,0.2,19.655,0.09
Tl2.0Sn1.0Te5.0,219,47961,238,5.09,46.75834971,0.07
Tl2.0Ge1.0Te5.0,285,81225,43.2,9.07,4.762954796,0.01
Tl2.0Sn1.0Te5.0,163,26569,231,6.75,34.22222222,0.03
Cu2.0Se1.0,90,8100,1000,0.97,1030.927835,0.25
Cu1.98Se1.0,62,3844,1650,1.25,1320,0.15
La3.0Te3.8Sb0.2,-45,2025,1890,2.402,786.8442964,0.05
La3.0Te3.65Sb0.35,-53,2809,909,2.05,443.4146341,0.04
La3.0Te3.35Sb0.65,-91,8281,55.6,1.47,37.82312925,0.00939
La3.0Te3.35Bi0.65,-71,5041,141,1.967,71.68276563,0.01
La2.99Te4.0,-41,1681,1640,2.46,666.6666667,0.03
La2.74Te4.0,-41,1681,370,1.24,298.3870968,0.02
Pb0.96Sr0.4Te1.0Na0.2,81,6561,1470,2.85,515.7894737,0.1
Pb0.98Sr0.2Te1.0Na0.1,68,4624,2440,3.065,796.0848287,0.11
Pb0.98Te1.0Na0.2,64,4096,2400,4.29,559.4405594,0.07
Si0.79936Ge0.19984B0.0008,128,16384,750,4.34,172.8110599,0.08
Si0.7956Ge0.1989P0.0055,-123,15129,855,4.139,206.5716357,0.09
Si0.8Ge0.2,121,14641,849,2.449,346.6721111,0.15
Mg2.0Si0.999Bi0.001,-151,22801,692,8.52,81.22065728,0.06
Mg2.0Si0.9985Bi0.0015,-107,11449,1220,7.08,172.3163842,0.06
Mg2.0Si0.997Bi0.003,-77,5929,2050,6.16,332.7922078,0.06
Mg2.0Si0.995Bi0.005,-68,4624,2710,6.55,413.740458,0.06
Mg2.0Si0.994Bi0.006,-61,3721,3030,6.55,462.5954198,0.05
Mg2.0Si0.98Bi0.02,-83,6889,658,7.13,92.28611501,0.02
Mg2.0Si0.6Ge0.4Bi0.02,-83,6889,667,2.98,223.8255034,0.05
Mg2.0Si0.98Ag0.02,26,676,0.806,7.83,0.10293742,0.00000209
Mg2.0Si0.6Ge0.4Ag0.02,30,900,19.5,4.11,4.744525547,0.000132
Mg2.0Si1.0,-89,7921,616,4.5,136.8888889,0.03
Mg1.95Ca0.05Si1.0,-75,5625,964,5.6,172.1428571,0.03
Mg1.9Ca0.1Si1.0,-61,3721,472,5.2,90.76923077,0.01
Mg2.0Si1.0,-178,31684,821,7.25,113.2413793,0.11
Fe0.998Co0.002Si2.0,-191,36481,21.1,5.69,3.708260105,0.00405
Fe0.978Co0.00196Si1.96Y0.04O0.06,-318,101124,7.843,4.59,1.708714597,0.00518
Fe0.978Co0.00196Si1.96Y0.12O0.18,-226,51076,3.704,2.86,1.295104895,0.00198
